"CONSOLIDATED STATEMENTS OF OPERATIONS - USD ($) shares in Millions, $ in Millions","Sep. 01, 2016","Aug. 31, 2017","Aug. 30, 2018"
Net sales,12399.00,20322.00,30391.00
Cost of goods sold,9894.00,11886.00,12500.00
Gross margin,2505.00,8436.00,17891.00
"Selling, general, and administrative",659.00,743.00,813.00
Research and development,1617.00,1824.00,2141.00
"Other operating (income) expense, net",61.00,1.00,-57.00
Operating income,168.00,5868.00,14994.00
Interest income,42.00,41.00,120.00
Interest expense,-437.00,-601.00,-342.00
"Other non-operating income (expense), net",-54.00,-112.00,-465.00
"Income (loss) before income taxes, net income (loss) attributable to noncontrolling interests, and equity in net income (loss) of equity method investees",-281.00,5196.00,14307.00
Income tax provision,-19.00,-114.00,-168.00
Equity in net income (loss) of equity method investees,25.00,8.00,-1.00
Net income (loss),-275.00,5090.00,14138.00
Net income attributable to noncontrolling interests,-1.00,-1.00,-3.00
Net income (loss) attributable to Micron,-276.00,5089.00,14135.00
Earnings (loss) per share,,,
Basic (in dollars per share),-0.27,4.67,12.27
Diluted (in dollars per share),-0.27,4.41,11.51
Number of shares used in per share calculations,,,
Basic (in shares),1036.00,1089.00,1152.00
Diluted (in shares),1036.00,1154.00,1229.00
,,,
